Regulog statistics:
RegulogName	genomes#	genomesWithoutCRtag#	CRtag#	VariablePositions#
YjiR – Enterobacteriales	5	0	2	1
Mll0059 – Rhizobiales	6	0	2	1
CLOBOL_00921 – Clostridia-3	1	0	1	0
CD2285 – Clostridia-2	1	0	1	0
CBY_0654 – Clostridia-1	2	0	2	1
LAR_1807 – Lactobacillaceae	2	0	2	5
SMU640c – Streptococcaceae	1	0	1	0
PdxQ2 – Comamonadaceae	1	0	1	0
PdxQ2 – Rhizobiales	1	0	1	0
PdxQ2 – Caulobacterales	2	0	1	0
PdxQ – Streptomycetaceae	4	1	4	6
PdxQ – Frankineae/Propionibacterineae/Pseudonocardiaceae	1	0	1	0
PdxQ – Nocardiaceae	1	0	1	0
PdxQ – Mycobacteriaceae	2	0	2	6
PdxQ – Micrococcineae	4	0	1	0
BPSS1200 – Burkholderia	6	0	2	6
PA0268 – Pseudomonadaceae	3	0	2	5
PdxW2 – Burkholderia	6	0	2	1
PdxW2 – Moraxellaceae 	1	0	1	0
GabR – Psychromonadaceae/Aeromonadales	1	0	1	0
GabR – Alcaligenaceae	3	0	1	0
TauR – Oceanospirillales/Alteromonadales	2	0	2	1
TauR – Psychromonadaceae/Aeromonadales	1	0	1	0
TauR – Ralstonia	3	0	1	0
TauR – Burkholderia	3	0	1	0
TauR – Rhizobiales	1	0	1	0
TauR – Enterobacteriales	1	0	1	0
H16_B1411 – Ralstonia	2	0	2	5
EbA483 – Various Betaproteobacteria	1	0	1	0
Bpro_5165 – Comamonadaceae	1	0	1	0
Bpet3002 – Alcaligenaceae	1	0	1	0
Swit_4344 – Sphingomonadales	1	0	1	0
Blr6977 – Rhizobiales	1	0	1	0
H16_B0275 – Ralstonia	2	0	2	6
Bamb_6386 – Burkholderia	3	0	3	6
PdxQ3 – Rhizobiales	3	0	2	1
PdxQ3 – Oceanospirillales/Alteromonadales	1	0	1	0
PdxQ3 – Rhodobacterales	2	0	2	1
PdxQ3 – Nocardiaceae	1	0	1	0
PdxQ3 – Comamonadaceae	2	0	2	2
PdxQ3 – Ralstonia	1	0	1	0
PdxQ3 – Burkholderia	3	0	2	3
PdxQ3 – Pseudomonadaceae	2	0	1	0
Bamb_4265 – Burkholderia	4	0	2	4
Mmwyl1_0258 – Oceanospirillales/Alteromonadales	1	0	1	0
Smlt1075 – Xanthomonadales	1	0	1	0
ACIAD1897 – Moraxellaceae	2	0	2	6
Pden_4836 – Rhodobacterales	1	0	1	0
PP2948 – Pseudomonadaceae	2	0	2	4
EutR – Oceanospirillales/Alteromonadales	1	0	1	0
EutR – Comamonadaceae	1	0	1	0
Tola_2572 – Psychromonadaceae/Aeromonadales	3	0	3	6
EutR – Pseudomonadaceae	1	0	1	0
VSAL_I1306 – Vibrionales	2	0	2	5
EutR – Burkholderia	4	0	2	1
PdxW – Burkholderia	8	5	3	1
PdxW – Alcaligenaceae	3	3	1	0
PdxW – Comamonadaceae	2	2	1	0
TauR – Nocardiaceae	2	0	1	0
PdxR3 – Streptomycetaceae	4	0	2	2

CR tag statistics:
CRtag	TFname	GenomesPresentIn#	TFBS#	InfoBits
RDRSRG	PdxR_Lactobacillaceae	1	2	34
RNRSVG	PdxR_Lactobacillaceae	1	2	34
RNRSKG	YdfD_YisV_Bacillales	1	4	27.75489
RNRSGR	YdfD_YisV_Bacillales	1	4	27.88722
RNRSQG	YdfD_YisV_Bacillales	1	2	39
RNRSTG	YdfD_YisV_Bacillales	1	2	35
RNRSSG	YdfD_YisV_Bacillales	1	2	41
RGRNVG	GabR_Various betaproteobacteria	1	1	48
RSVQIG	EutR_Rhizobiales	4	15	14.92777
RSVQVG	EutR_Rhizobiales	1	6	14.64281
LRAYV	EutR_Rhizobiales	1	4	16.07594
RNYTAG	YrdX_Burkholderia	1	7	18.92059
RARNRQ	PdxW_Ralstonia	1	3	54.56541
QIATRS	DVU0030_Desulfovibrionales	1	2	31
RSIAPR	DVU0030_Desulfovibrionales	2	4	23.37744
RSLAPR	DVU0030_Desulfovibrionales	1	4	27.50978
RSISPR	DVU0030_Desulfovibrionales	1	4	24.88722
RSVSPK	DVU0030_Desulfovibrionales	1	1	42
RAVSPR	DVU0030_Desulfovibrionales	1	2	27
TREL	TERTU_3902_Oceanospirillales_Alteromonadales	1	1	48
errorGettingCRtag	TauR2_Rhodobacterales	1	2	35
RSRNDR	TauR2_Rhodobacterales	1	2	33
RNRTPR	Cpin_2755_Sphingobacteria	1	1	60
RHARPR	Cpin_2755_Sphingobacteria	1	1	60
RSKDPK	PdxR_Streptococcaceae	5	10	28
RSKDNK	PdxR_Streptococcaceae	1	2	28
RSKDLK	PdxR_Streptococcaceae	1	2	28
RARNQG	MSMEG_4140_Mycobacteriaceae	4	5	41.97555
ATVAGT	MSMEG_4140_Mycobacteriaceae	1	4	30.13233
RNRIVG	PdxW_Sphingobacteria	1	1	66
RHRRTG	PdxW_Sphingobacteria	1	1	66
RSRNQR	TauR2_Rhizobiales	1	3	30.15037
RNRNGR	PdxR2_Ralstonia	1	2	30
RNRNGR	PdxR2_Alcaligenaceae	1	3	29.24511
RHRNGR	PdxR2_Micrococcineae	1	2	22
RNRNGR	PdxR2_Micrococcineae	1	2	30
RNRNGR	PdxR2_Xanthomonadales	1	2	28
RNPNGR	PdxW_Streptomycetaceae	3	13	18.93036
RNANGR	PdxW_Streptomycetaceae	1	4	21.75489
[indel within CR tag region]	PdxW_Various betaproteobacteria	1	1	66
RNANGR	PdxW_Mycobacteriaceae	1	2	28
RNPNGR	PdxW_Mycobacteriaceae	1	2	32
RARNTG	GabR_Burkholderia	7	14	34.25642
RGRNTG	GabR_Burkholderia	1	2	36
RSRTQG	PdxR3_Nocardiaceae	1	16	17.68932
LTTVSG	PdxR3_Comamonadaceae	1	4	30.13233
IRNTNK	Fjoh_4822_Flavobacteria	1	1	66
RHRNAN	Fjoh_4822_Flavobacteria	1	1	66
RNRNAN	Fjoh_4822_Flavobacteria	1	1	66
RHRNPN	Fjoh_4822_Flavobacteria	2	2	56
TRNTNR	Cpin_4623_Sphingobacteria	1	1	66
RHRKPN	Cpin_4623_Sphingobacteria	1	1	66
RNRNAN	Cpin_4623_Sphingobacteria	1	1	66
TYEY	Cpin_6695_Sphingobacteria	1	1	44
RSLNPK	Fjoh_0145_Flavobacteria	1	2	30
RSRTRG	PdxQ_Oceanospirillales_Alteromonadales	1	1	66
RSQNPR	YhdI_YdeL_Staphylococcaceae	1	1	48
RSRNTG	PdxW2_Pseudomonadaceae	1	1	54
RSRNVG	PdxW2_Pseudomonadaceae	5	5	45.03756
RNRNGR	PdxR2_Enterobacteriales	4	16	20.8714
RNPNGR	PdxR2_Enterobacteriales	1	2	28
KRSTGK	BC3039_Bacillales	1	4	32.75489
RSRTQG	PdxR3_Mycobacteriaceae	1	1	66
RSRTRG	PdxR3_Mycobacteriaceae	4	5	58.10656
RSRTRG	PdxR3_Frankineae_Propionibacterineae/Pseudonocardiaceae	1	3	45.7223
RSRTQG	PdxR3_Caulobacterales	1	1	66
RSRTQG	PdxR3_Enterobacteriales	2	2	57
RSRTHG	PdxR3_Enterobacteriales	1	1	66
RARIQG	PdxR3_Rhodobacterales	1	1	66
RDLTGR	YrdX3_Sphingomonadales	1	2	40
TVSTQS	Bcep18194_A4479_Burkholderia	1	2	41
RSRFRG	BPSL1086_Burkholderia	7	13	63.28791
ATVVGF	BPSL1086_Burkholderia	1	2	72
ADRG	Vapar_1337_Comamonadaceae	1	1	48
RSLNPK	BACOVA_03038_Bacteroidaceae	1	1	36
RTAGVG	PA2100_Pseudomonadaceae	1	1	48
RTIGVG	PA2100_Pseudomonadaceae	1	1	48
RTPGVG	PP0486_Pseudomonadaceae	2	7	23.89015
DPGTGR	PP0486_Pseudomonadaceae	1	4	24.13233
TSKGPQ	YcxD_Clostridia-1	1	1	54
RNKSPK	YcxD_Clostridia-1	1	1	54
RSKSPK	YcxD_Bacillales	3	3	47.57193
RSKSER	YcxD_Bacillales	1	1	54
RSISPQ	YcxD_Bacillales	1	1	54
RSRNTG	GabR_Moraxellaceae 	1	3	42.49022
RGRIER	TauR_Comamonadaceae	1	3	30.81704
RARIQR	TauR_Comamonadaceae	1	3	29.23208
RSRNPR	TauR_Comamonadaceae	1	2	34
RSRNAR	TauR_Comamonadaceae	1	3	26.72882
RSINER	GabR_Staphylococcaceae	1	1	36
RSVNER	GabR_Bacillales	3	3	36
RSINER	GabR_Bacillales	1	1	36
RNRSRG	PdxR_Enterococcaceae	1	5	29.55041
RNRSQG	PdxR_Listeriaceae	1	8	36
RSLTPR	YhdI_YdeL_Bacillales	1	1	48
RSQTPR	YhdI_YdeL_Bacillales	2	3	41.57193
RSKNSR	YhdI_YdeL_Bacillales	1	2	37
RSRGPG	PdxR2(2	1	1	60
RSRSQG	PdxR2_Mycobacteriaceae	1	1	60
RSRGVG	PdxR_Corynebacteriaceae	1	1	60
RSRGRG	PdxR_Corynebacteriaceae	2	2	58
RSRGAG	PdxR_Frankineae_Propionibacterineae/Pseudonocardiaceae	1	1	60
RSRGER	PdxR_Micrococcineae	1	1	60
RSRGPR	PdxR_Micrococcineae	1	1	60
RSRGRG	PdxR_Micrococcineae	1	1	60
RDLTGA	YrdX3_Xanthomonadales	1	1	48
RDLTSG	YrdX3(2	1	1	48
RDFTAG	YrdX3_Caulobacterales	1	1	66
RDFTTG	YrdX3_Caulobacterales	1	1	66
RDFTVG	YrdX3_Caulobacterales	1	1	66
RSLSPK	YjiR_Pseudomonadaceae	1	6	48.22999
RSTIPK	PdxR_Clostridia-3	3	3	40.47719
RSRSPC	PdxR_Clostridia-3	6	8	40.04923
RSRSPG	PdxR_Clostridia-3	1	1	54
RSRSPY	PdxR_Clostridia-3	3	7	39.78831
RSVIPK	PdxR_Clostridia-3	1	2	47
ATYA	Spro_2017_Enterobacteriales	1	1	40
QRNT	Veis_0044_Comamonadaceae	1	3	47.39549
RRNTGS	RHA1_ro08093_Nocardiaceae	1	2	52
RARNVG	PdxW2_Comamonadaceae	1	1	54
RSRMRG	PdxW_Rhodobacterales	1	1	54
RARNRG	PdxW_Rhodospirillales	1	2	49
RSRNPR	PdxW_Desulfuromonadales	1	2	30
RSRNTR	PdxQ_Bacillales	1	2	41
RSRNKR	PdxQ_Bacillales	1	1	42
RSRNNG	CD3353_Clostridia-2	1	1	66
LNTVSG	DVU2086_Desulfovibrionales	1	1	54
QRNVGA	BH1940_Bacillales	1	2	52
RSRNQG	PdxQ_Desulfuromonadales	1	1	36
RSKNPR	PdxW_Bacillales	1	1	36
no_CRtag	PdxW_Bacillales	1	1	36
RGRNPR	PdxQ_Desulfovibrionales	1	1	36
RGKNPG	PdxQ_Desulfovibrionales	1	1	36
RSRNAG	PdxQ_Clostridia-1	1	1	36
RGRNPG	PdxQ_Clostridia-1	1	1	36
TRATGA	Veis_4721_Comamonadaceae	1	1	60
RSRTVG	SPOA0379_Rhodobacterales	1	2	44
LTTVAG	SPOA0379_Rhodobacterales	1	2	53
ATMAGY	Bpet3338_Alcaligenaceae	1	2	32
EKNTGS	Daci_0288_Comamonadaceae	1	1	54
FNSVSG	Ent638_1108_Enterobacteriales	1	1	60
ARNSGS	Sbal_3352_Shewanellaceae	1	2	46
RSRNPG	Sbal_3352_Shewanellaceae	2	4	49.18872
LRVTGK	EAM_2333_Enterobacteriales	1	1	60
MRSTGA	AHA_3778_Psychromonadaceae_Aeromonadales	1	1	60
RSRSVG	AHA_3778_Psychromonadaceae_Aeromonadales	1	1	60
RHRNPS	PdxR2_Rhizobiales	1	1	54
RHRNSS	PdxR2_Sphingomonadales	1	1	54
RHRNPA	PdxR2_Rhodobacterales	1	3	45.73534
RSRDVG	PdxR_Pseudomonadaceae	1	1	60
RSRDKG	PdxR_Pseudomonadaceae	1	2	51
RSRFRG	PdxW2_Various betaproteobacteria	1	1	60
RSRFPG	Bcep1808_4966_Burkholderia	1	1	80
KRFPGA	Bcep1808_4966_Burkholderia	1	1	80
RNVSVG	YdeF_Bacillales	1	1	36
RNLSVG	YdeF_Bacillales	1	1	36
RSLTPK	Spro_0112_Enterobacteriales	1	2	33
RSAAPR	XAC0737_Xanthomonadales	1	1	44
RSPAPR	XAC0737_Xanthomonadales	1	1	44
TTANGY	PE36_10153_Psychromonadaceae_Aeromonadales	1	1	44
RSLSPK	ACIAD3613_Moraxellaceae 	1	1	44
DISTKS	ACIAD3613_Moraxellaceae 	1	1	44
RSISPK	VV21354_Vibrionales	1	1	44
RSMSPQ	VV21354_Vibrionales	1	1	44
QMSTQA	VV21354_Vibrionales	1	1	44
HNCYV	CPS_3393_Alteromonadales	1	1	44
RSLTPQ	Mmwyl1_0910_Oceanospirillales_Alteromonadales	1	1	44
RSMTPQ	Mmwyl1_0910_Oceanospirillales_Alteromonadales	1	1	44
RSLNPQ	Daro_1932_Various betaproteobacteria	1	1	112
QVSTQS	Daro_1932_Various betaproteobacteria	1	1	112
RSLGPR	BAV2320_Alcaligenaceae	1	3	97.30727
RSLSPR	BAV2320_Alcaligenaceae	2	3	82.53935
RSISPQ	sll5086_Cyanobacteria	1	2	47
RSRLRG	Spro_3347_Enterobacteriales	1	1	40
RAVAPG	PdxQ3_Mycobacteriaceae	1	1	48
RNYTTG	YrdX_Ralstonia	1	2	23
RSLMEK	YdcR_Moraxellaceae 	1	3	49.23208
RSITPQ	H16_B1468_Ralstonia	1	9	35.35103
RSVTPQ	BPSS0970_Burkholderia	3	3	60
RSITPQ	BPSS0970_Burkholderia	3	3	49.48371
QVTTQS	BPSS0970_Burkholderia	1	1	60
RSIKPQ	BPSS0970_Burkholderia	1	1	60
RSHVNR	OapR_Rhodospirillales	1	2	42
RSTLRA	OapR_Rhizobiales	1	1	72
RSTFRG	OapR_Burkholderia	1	2	67
RSTFPG	OapR_Alcaligenaceae	1	3	63.73534
RGRNHG	CV4096_Various betaproteobacteria	1	1	44
RGRNPG	PdxW2_Oceanospirillales_Alteromonadales	1	1	66
[indel within CR tag region]	PdxW_Enterobacteriales	1	1	66
RSRNRQ	PdxW_Enterobacteriales	1	1	66
RNRHER	PdxW_Alteromonadales	1	1	54
RNRHQR	PdxW_Alteromonadales	1	1	54
RNRHER	PdxW_Shewanellaceae	1	1	54
ATVVGS	Bxe_A4302_Burkholderia	1	1	60
ATKG	BBta_7471_Rhizobiales	1	1	60
GVYE	AB57_0242_Moraxellaceae 	1	1	60
LKTVRG	Mmwyl1_4437_Oceanospirillales_Alteromonadales	1	1	60
ERKTRR	PP2642_Pseudomonadaceae	1	1	60
SLPTRS	Daci_4286_Comamonadaceae	1	1	66
KVPTQS	CPS_4612_Alteromonadales	1	1	44
RSVPSK	CPS_4612_Alteromonadales	1	1	44
RSIPEK	CPS_4612_Alteromonadales	1	1	44
RSKAPK	MED92_15328_Oceanospirillales_Alteromonadales	1	1	44
RSKAFK	MED92_15328_Oceanospirillales_Alteromonadales	1	1	44
RSRDVG	PdxR_Rhizobiales	1	3	41.7223
RSRDVG	PdxR_Various betaproteobacteria	1	1	60
RSRDVG	PdxR_Rhodospirillales	1	2	55
RSRDVG	PdxR_Enterobacteriales	1	2	57
RSRDTG	PdxR_Comamonadaceae	1	1	60
RARDQG	PdxR_Comamonadaceae	1	1	60
RSRDVG	PdxR_Alcaligenaceae	1	1	60
RARDQG	PdxR_Alcaligenaceae	1	1	60
RSGTPK	PdxR_Staphylococcaceae	1	1	48
RSQTPR	PdxR_Staphylococcaceae	1	1	48
no_CRtag	PdxR_Staphylococcaceae	1	1	48
RSNTPR	PdxR_Staphylococcaceae	2	2	41
errorGettingCRtag	PdxR_Staphylococcaceae	1	1	48
RSHTPR	PdxR_Staphylococcaceae	1	1	48
RSQNPR	PdxR_Bacillales	1	2	41
LRAYV	PdxR_Pasteurellales	1	1	48
RSQNAR	PdxR_Pasteurellales	1	1	48
RSQNPR	PdxR_Pasteurellales	1	1	48
RARAPG	PdxW_Caulobacterales	1	2	44
RSRTPG	PdxQ_Comamonadaceae	1	1	66
RSRTPG	PdxQ_Alcaligenaceae	1	1	66
RSRTRG	PdxQ_Ralstonia	1	1	66
RSRTVG	PdxQ_Ralstonia	1	1	66
RSRTQG	PdxQ_Rhizobiales	1	2	55
RSRNPG	PdxQ_Rhodospirillales	1	1	66
RSRTQG	PdxQ_Rhodobacterales	1	1	66
LGTVAG	CV1517_Various betaproteobacteria	1	1	72
ARGTAA	PFL_2191_Pseudomonadaceae	1	1	72
SKKTPR	HCH_03332_Oceanospirillales_Alteromonadales	1	1	72
RSLSPR	Bamb_3558_Burkholderia	1	4	90.01955
EVTET	Bcav_0410_Micrococcineae	1	1	48
RVTETR	Bcav_0044_Micrococcineae	1	1	66
LGTVSG	SACE_6928_Frankineae_Propionibacterineae/Pseudonocardiaceae	1	2	40
RSRGGR	SACE_6928_Frankineae_Propionibacterineae/Pseudonocardiaceae	1	1	48
AVAATR	Nfa21130_Nocardiaceae	1	1	48
RARNPG	Nfa21130_Nocardiaceae	1	1	48
RARNQG	Nfa21130_Nocardiaceae	2	2	47
RARNQG	SCO4836_Streptomycetaceae	3	8	32.50766
AVADTR	SCO4836_Streptomycetaceae	1	2	40
RSRGVG	PdxR2_Deinococcus-Thermus	1	1	60
RNRSSG	YdfD_YisV_Clostridia-1	1	1	28
RNRSKG	YdfD_YisV_Clostridia-1	1	1	28
RNRSPG	YdfD_YisV_Lactobacillaceae	1	1	28
RSTFGN	GabR2_Pseudomonadaceae	1	2	24
EFTTGC	EF0117_Enterococcaceae	1	2	34
RNFTIG	EF0117_Enterococcaceae	1	2	36
RSLNPQ	CV1900_Various betaproteobacteria	1	3	38.38897
RSASPR	YdcR_Oceanospirillales_Alteromonadales	1	1	60
RSPSPR	YdcR_Oceanospirillales_Alteromonadales	1	1	60
RSPMPQ	YdcR_Psychromonadaceae_Aeromonadales	1	2	60
RSLMEK	YdcR_Shewanellaceae	1	1	60
RSLMAK	YdcR_Shewanellaceae	4	4	57
RSPMPK	YdcR_Vibrionales	1	1	60
RSIEAK	YdcR_Vibrionales	1	1	60
RSTGPQ	YdcR_Vibrionales	1	2	48
RSLMPR	YdcR_Vibrionales	1	3	40.38897
RSIEPK	YdcR_Vibrionales	1	3	41.47067
RSAGPQ	YdcR_Vibrionales	1	2	46
RSASAR	YdcR_Pseudomonadaceae	1	2	49
RSPSPR	YdcR_Pseudomonadaceae	3	6	44.50839
RSPSAR	YdcR_Pseudomonadaceae	2	2	56
RSFMPQ	YdcR_Enterobacteriales	5	7	43.62103
RSMMPQ	YdcR_Enterobacteriales	1	1	60
RSLMPQ	YdcR_Enterobacteriales	4	5	43.33504
QLNTKA	Smlt0590_Xanthomonadales	1	1	56
RSINPQ	AB57_2651_Moraxellaceae 	1	1	56
YINSQA	Sbal_1936_Shewanellaceae	1	1	56
RSVNPQ	YE4144_Enterobacteriales	1	1	56
RSINPQ	YE4144_Enterobacteriales	1	1	56
ATVVGF	BAV2922_Alcaligenaceae	1	1	88
RSRFRG	BAV2922_Alcaligenaceae	2	2	85
RSRFRG	H16_A2655_Ralstonia	5	8	51.42176
IYER	H16_A2655_Ralstonia	1	2	58
RSISPR	YjiR_Enterobacteriales	4	4	51.94361
RSISPK	YjiR_Enterobacteriales	1	1	56
RTIGVG	Mll0059_Rhizobiales	5	14	24.30586
RTVGVG	Mll0059_Rhizobiales	1	2	30
ELSTGN	CLOBOL_00921_Clostridia-3	1	2	32
